Name,Ra,Dec
And,0.1898772782,0.7157595262
Ant,2.62053915,-0.5930822724
Aps,4.194171637,-1.319192571
Aqr,5.87717809,-0.174314759
Aql,5.132358832,0.05883698834
Ara,4.528693077,-0.9387156419
Ari,0.6959500392,0.3703103859
Aur,1.546288995,0.6946895237
Boo,3.829470545,0.529600769
Cae,1.249073968,-0.6840139264
Cam,1.592103888,1.170248112
Cnc,2.258456052,0.3456915472
CVn,3.466151172,0.698635907
CMa,1.808524715,-0.4012899801
CMi,1.991929731,0.1057669527
Cap,5.507968231,-0.3194728233
Car,2.419317231,-1.059080335
Cas,0.2460914245,1.07324659
Cen,3.444770889,-0.8133331277
Cep,6.008877726,1.208213871
Cet,0.4243331744,-0.1471603448
Cha,2.797544625,-1.381248722
Cir,3.862849967,-1.110679055
Col,1.552179481,-0.623756434
Com,3.31830724,0.3996222211
CrA,4.914774452,-0.7036100954
CrB,4.154683562,0.5622820592
Crv,3.253584614,-0.3302890165
Crt,2.984003967,-0.2731925093
Cru,3.269947076,-1.049990078
Cyg,5.369941776,0.7463076363
Del,5.412702343,0.2337335238
Dor,1.398226897,-1.089032124
Dra,4.459752571,1.111037817
Equ,5.547383583,0.1246407493
Eri,1.006909534,-0.3279570627
For,0.7435829834,-0.5425598387
Gem,1.86219359,0.3993507254
Gru,5.938046448,-0.7819753788
Her,4.568253873,0.482011458
Hor,0.8363035999,-0.932941511
Hya,2.775073511,-0.2973119899
Hyi,0.5427973974,-1.238815311
Ind,5.705772213,-1.021604237
Lac,5.907139575,0.7957246948
Leo,2.788963423,0.2430225539
LMi,2.699078966,0.5775197532
Lep,1.464985741,-0.3312295551
Lib,4.003058084,-0.2880520486
Lup,4.005021579,-0.7334115924
Lyn,2.084359459,0.8328614228
Lyr,4.952226308,0.621914142
Men,1.385064206,-1.353279821
Mic,5.493641987,-0.6268786341
Mon,1.792598586,-0.02840523358
Mus,3.288345755,-1.207898742
Nor,4.222678681,-0.9049677616
Oct,5.528766738,-1.426937563
Oph,4.551164191,-0.08746038807
Ori,1.470512617,0.06510562924
Pav,5.132358832,-1.131855716
Peg,5.928374415,0.3500160852
Per,0.8882271452,0.7785380498
Phe,0.2388192193,-0.8186903189
Pic,1.525126878,-0.945202449
Psc,0.1623156204,0.1918601662
PsA,5.860452018,-0.5261391993
Pup,2.001892652,-0.6018525519
Pyx,2.299762178,-0.5018160969
Ret,1.032871307,-1.087092869
Sge,5.151702898,0.3254748167
Sgr,4.985169398,-0.4633994608
Sco,4.418446446,-0.5732097596
Scl,0.1362084037,-0.5462589671
Sct,4.882049528,-0.1723076304
Ser,4.356996311,0.08428485846
Sex,2.697842691,-0.04972249113
Tau,1.187623834,0.3058980402
Tel,5.034911282,-0.8811731061
Tri,0.5825036379,0.5652830559
TrA,4.204425446,-1.150700424
Tuc,6.250823994,-1.108148327
UMa,2.875211777,0.9417457274
UMi,4.140720928,1.341377645
Vel,2.44193379,-0.8276060425
Vir,3.482586356,-0.04365747198
Vol,2.077523586,-1.212136014
Vul,5.257658928,0.4208909973
