Ra,Dec
0,0
0.07204926215,0.03129059723
0.144239352,0.06241862075
0.2167092508,0.09322108067
0.2895941792,0.1235342022
0.3630235511,0.1531931528
0.4371187458,0.1820319148
0.5119906614,0.2098833552
0.5877370414,0.2365795424
0.6644395986,0.2619523628
0.7421610024,0.2858344788
0.820941846,0.3080606657
0.9007977634,0.328469544
0.9817169194,0.3469057023
1.063658135,0.3632221742
1.146549932,0.3772831955
1.230290774,0.3889671286
1.314750707,0.3981694042
1.399774538,0.4048053028
1.485186512,0.4088123827
1.570796327,0.4101523742
1.656406142,0.4088123827
1.741818116,0.4048053028
1.826841946,0.3981694042
1.91130188,0.3889671286
1.995042721,0.3772831955
2.077934519,0.3632221742
2.159875734,0.3469057023
2.24079489,0.328469544
2.320650808,0.3080606657
2.399431651,0.2858344788
2.477153055,0.2619523628
2.553855612,0.2365795424
2.629601992,0.2098833552
2.704473908,0.1820319148
2.778569102,0.1531931528
2.851998474,0.1235342022
2.924883403,0.09322108067
2.997353302,0.06241862075
3.069543391,0.03129059723
3.141592654,0
3.213641916,-0.03129059723
3.285832006,-0.06241862075
3.358301904,-0.09322108067
3.431186833,-0.1235342022
3.504616205,-0.1531931528
3.578711399,-0.1820319148
3.653583315,-0.2098833552
3.729329695,-0.2365795424
3.806032252,-0.2619523628
3.883753656,-0.2858344788
3.9625345,-0.3080606657
4.042390417,-0.328469544
4.123309573,-0.3469057023
4.205250788,-0.3632221742
4.288142586,-0.3772831955
4.371883428,-0.3889671286
4.456343361,-0.3981694042
4.541367192,-0.4048053028
4.626779165,-0.4088123827
4.71238898,-0.4101523742
4.797998796,-0.4088123827
4.883410769,-0.4048053028
4.9684346,-0.3981694042
5.052894533,-0.3889671286
5.136635375,-0.3772831955
5.219527172,-0.3632221742
5.301468388,-0.3469057023
5.382387544,-0.328469544
5.462243461,-0.3080606657
5.541024305,-0.2858344788
5.618745709,-0.2619523628
5.695448266,-0.2365795424
5.771194646,-0.2098833552
5.846066561,-0.1820319148
5.920161756,-0.1531931528
5.993591128,-0.1235342022
6.066476056,-0.09322108067
6.138945955,-0.06241862075
6.211136045,-0.03129059723
