Ra,Dec
0,0
0.07853981634,0
0.1570796327,0
0.235619449,0
0.3141592654,0
0.3926990817,0
0.471238898,0
0.5497787144,0
0.6283185307,0
0.7068583471,0
0.7853981634,0
0.8639379797,0
0.9424777961,0
1.021017612,0
1.099557429,0
1.178097245,0
1.256637061,0
1.335176878,0
1.413716694,0
1.49225651,0
1.570796327,0
1.649336143,0
1.727875959,0
1.806415776,0
1.884955592,0
1.963495408,0
2.042035225,0
2.120575041,0
2.199114858,0
2.277654674,0
2.35619449,0
2.434734307,0
2.513274123,0
2.591813939,0
2.670353756,0
2.748893572,0
2.827433388,0
2.905973205,0
2.984513021,0
3.063052837,0
3.141592654,0
3.22013247,0
3.298672286,0
3.377212103,0
3.455751919,0
3.534291735,0
3.612831552,0
3.691371368,0
3.769911184,0
3.848451001,0
3.926990817,0
4.005530633,0
4.08407045,0
4.162610266,0
4.241150082,0
4.319689899,0
4.398229715,0
4.476769531,0
4.555309348,0
4.633849164,0
4.71238898,0
4.790928797,0
4.869468613,0
4.948008429,0
5.026548246,0
5.105088062,0
5.183627878,0
5.262167695,0
5.340707511,0
5.419247327,0
5.497787144,0
5.57632696,0
5.654866776,0
5.733406593,0
5.811946409,0
5.890486225,0
5.969026042,0
6.047565858,0
6.126105675,0
6.204645491,0
