Name,Ra,Dec
M1,1.459531587,0.3842633236
M10,4.437935956,-0.07155849933
M100,3.241512753,0.27605291
M101,3.679590396,0.9485864485
M102,3.955352417,0.973021058
M103,0.4066617157,1.059414856
M104,3.316125579,-0.2027490814
M105,2.826560724,0.2196205975
M106,3.224495793,0.8255407362
M107,4.330598207,-0.2277654674
M108,2.929971482,0.9715666169
M109,3.131120678,0.9317149324
M11,4.935354792,-0.1093739665
M110,0.1762782545,0.7275114099
M12,4.394739057,-0.03403392041
M13,4.370740779,0.6364634006
M14,4.614650542,-0.05672320069
M15,5.628686838,0.2123483923
M16,4.794419455,-0.2405645486
M17,4.803146101,-0.2824524506
M18,4.799219111,-0.2990330785
M19,4.461934233,-0.4584398169
M2,5.643958469,-0.01425352222
M20,4.723733621,-0.4020075044
M21,4.732460267,-0.3926990817
M22,4.871213942,-0.4171336912
M23,4.698426346,-0.3319034461
M24,4.786129141,-0.3225950234
M25,4.850269991,-0.335975881
M26,4.909611186,-0.1640609497
M27,5.234242427,0.3964806284
M28,4.819290397,-0.4340052073
M29,5.340271179,0.6725335384
M3,3.587524277,0.4953826194
M30,5.674065398,-0.4046254983
M31,0.1863138977,0.7202392047
M32,0.1863138977,0.7132578876
M33,0.4097160419,0.5349434157
M34,0.5411393346,0.7467100316
M35,1.923789168,0.4246967847
M36,1.466512904,0.5957390513
M37,1.537635071,0.5681046715
M38,1.434224313,0.6254096486
M39,5.638286149,0.8453211344
M4,4.291764631,-0.4630940282
M40,3.239331092,1.013745407
M41,1.775872514,-0.3618649316
M42,1.463458578,-0.09512044423
M43,1.464331242,-0.09192067394
M44,2.26936436,0.3487749622
M45,0.9904743505,0.4209152379
M46,2.014982621,-0.2585996175
M47,1.992293341,-0.2530727415
M48,2.154608962,-0.1012290966
M49,3.271619683,0.1396263402
M5,4.008148627,0.03636102608
M50,1.846558349,-0.1454441043
M51,3.533855403,0.8237954069
M52,6.126978339,1.074831931
M53,3.45967891,0.3170681474
M54,4.952808085,-0.5320345336
M55,5.148721293,-0.5404702917
M56,5.046619532,0.5267985459
M57,4.9462631,0.5765404296
M58,3.306089936,0.2062397399
M59,3.324852225,0.2033308579
M6,4.62555885,-0.5622869074
M60,3.332269874,0.2015855286
M61,3.23714943,0.07795803992
M62,4.45582558,-0.5256349931
M63,3.472332547,0.7336200623
M64,3.388993075,0.3784455595
M65,2.962260073,0.2283472438
M66,2.967932393,0.2266019146
M67,2.314306588,0.2062397399
M68,3.313943917,-0.4668755749
M69,4.862487296,-0.564614013
M7,4.685772709,-0.6076654679
M70,4.90088454,-0.5637413484
M71,5.208935153,0.3278310112
M72,5.469425543,-0.2187479329
M73,5.492987488,-0.2204932622
M74,0.4219333467,0.2754711336
M75,5.262604027,-0.3825179944
M76,0.4468042885,0.9000081176
M77,0.7099126732,0
M78,1.512764129,0
M79,1.415898356,-0.4284783314
M8,4.728969608,-0.4255694493
M80,4.262966698,-0.4011348398
M81,2.598795256,1.205440737
M82,2.599667921,1.2162036
M83,3.564834997,-0.5212716699
M84,3.251112064,0.2248565853
M85,3.252421061,0.3173590357
M86,3.25591172,0.2260201381
M87,3.275983006,0.2164208272
M88,3.281218994,0.2516183005
M89,3.297363289,0.2190388211
M9,4.534365397,-0.3231767998
M90,3.302162945,0.2298016848
M91,3.296054292,0.2530727415
M92,4.525202418,0.752818684
M93,2.027199926,-0.4165519148
M94,3.363685801,0.7176212108
M95,2.809980096,0.2042035225
M96,2.8221974,0.2062397399
M97,2.944370448,0.9602219768
M98,3.201806513,0.2600540585
M99,3.223623128,0.2516183005
