Star,Ra,Dec,Mag
88.0,0.0046977187,-0.8518927495,5.869
107.0,0.0058259401,-0.8785533522,5.6243
122.0,0.0069704752,-1.3450431269,4.9354
124.0,0.0070554113,1.0685395054,5.6725
145.0,0.0079585109,-0.0528394792,5.0831
154.0,0.0085515013,-0.1049636029,4.412
171.0,0.0094280686,0.4727135123,5.8735
183.0,0.010174839,-0.5187196794,4.9895
194.0,0.0108906666,0.148101282,5.7806
301.0,0.0163168258,-0.3025697545,4.5366
330.0,0.0184469447,1.087124832,5.9712
343.0,0.0188903896,-0.2884835481,5.9562
355.0,0.0196438507,-0.1834252794,5.0996
377.0,0.020453296,-1.246808384,5.5635
379.0,0.0204957983,1.1722746136,5.8511
418.0,0.0222625887,1.0701305581,5.7814
443.0,0.0232816568,-0.0996204682,4.7803
476.0,0.0248662722,0.2338092342,5.7076
522.0,0.0275371614,-0.8565219731,5.8163
531.0,0.0281090228,1.1204345102,5.5684
636.0,0.033950705,-0.3928470046,5.9806
655.0,0.0351623685,-0.5851972696,5.8385
677.0,0.0365914186,0.5077307372,2.0371
729.0,0.0394399454,0.3178598033,5.7323
746.0,0.0400036499,1.0323660584,2.3579
761.0,0.0407985727,-0.488481072,5.51
765.0,0.0410545044,-0.7984355691,4.0452
813.0,0.0437920967,0.194531066,5.5212
814.0,0.0437982359,-1.435079479,5.453
841.0,0.0450325474,0.8041128323,5.1174
910.0,0.0491534227,-0.2699557081,5.0025
930.0,0.050499436,-0.4851976646,5.577
950.0,0.0511881892,-0.6131934379,5.3425
983.0,0.0530833957,-0.3130809591,5.4056
1067.0,0.0577522202,0.2650040933,2.7544
1074.0,0.0581447987,-1.4834255081,5.8488
1086.0,0.0589728807,0.7162085428,5.7891
1158.0,0.0630930868,-0.1357960054,5.1798
1168.0,0.0637123786,0.3526733959,4.8756
1170.0,0.0638814271,-0.3304377121,4.5262
1191.0,0.0650499709,-0.1670201683,5.7506
1288.0,0.070452081,-0.5488419658,5.811
1354.0,0.0739620228,1.0739568348,5.8988
1366.0,0.0745790627,0.67512266,4.6349
1372.0,0.0748339166,0.8368402598,5.839
1473.0,0.0799728252,0.6420250772,4.5377
1493.0,0.0813190882,0.5500795044,5.8849
1562.0,0.0847708677,-0.1540048781,3.7314
1599.0,0.0874056696,-1.1323281358,4.3442
1630.0,0.0890402984,0.5399283436,5.8586
1645.0,0.0898745824,0.1429467985,5.5386
1647.0,0.09010573,-1.215183946,5.496
1657.0,0.0905781345,0.5744092961,5.9028
1686.0,0.0921552686,0.6626788171,5.2579
1708.0,0.0938970031,-0.505819023,5.3382
1728.0,0.0949920703,-0.3500780092,5.439
1921.0,0.105857436,0.9079189635,5.5506
1960.0,0.1081732262,1.0791556346,5.3941
1982.0,0.1095474647,0.9258410581,5.711
2006.0,0.1108441746,0.0338545643,5.9256
2021.0,0.1119339317,-1.3483547235,2.9305
2072.0,0.1143275139,-0.7623582379,3.9946
2081.0,0.1146730467,-0.7383636553,2.5512
2210.0,0.1218612649,-0.5760816055,4.9006
2219.0,0.1223799069,0.3122930731,5.0291
2225.0,0.1231609847,0.7748300066,5.1998
2240.0,0.1240941832,-0.6966464565,5.5259
2353.0,0.131070804,-0.0690678586,5.8315
2355.0,0.1314331723,0.5192650427,5.277
2377.0,0.1323478634,1.0468059678,5.9511
2381.0,0.132548393,-0.4151739385,5.2165
2383.0,0.1327886288,-0.8415052335,5.7538
2472.0,0.1370705991,-0.851782839,4.7736
2484.0,0.1376309022,-1.0988258828,4.3328
2487.0,0.1376887335,-1.0989544178,4.5529
2497.0,0.1382599636,0.9222242701,5.7599
2505.0,0.1386313525,0.9515940891,4.7078
2548.0,0.1413538488,0.1213955845,5.698
2568.0,0.1422007632,0.3542046816,5.5464
2578.0,0.1428111478,-1.100105092,5.092
2599.0,0.1439886828,1.0983668984,4.2103
2661.0,0.146975711,-0.5158880293,5.7087
2711.0,0.1503612108,-0.9140844838,5.6755
2762.0,0.1537810343,-0.0627054549,5.3209
2802.0,0.1557077205,-0.8377695699,5.6144
2854.0,0.1576823162,0.945417869,5.0536
2876.0,0.1590679989,1.0528911151,5.8676
2900.0,0.1604591032,0.776470973,5.2561
2903.0,0.1605202368,0.2658443569,5.8347
2912.0,0.1609221868,0.5885137233,4.3098
2920.0,0.1613169271,0.9406789123,3.6112
2941.0,0.1628819708,-0.4322696466,5.7134
2942.0,0.1629865601,0.6178380104,5.5949
3031.0,0.1682424183,0.5115973496,4.4994
3083.0,0.1708886041,0.8614001871,5.564
3092.0,0.1715947657,0.5386300044,3.4328
3138.0,0.1742095995,0.3741735362,5.5468
3179.0,0.1767427477,0.986763942,2.4107
3231.0,0.1794195125,0.6886837342,5.4579
3245.0,0.1803198559,-0.8043351513,4.7591
3277.0,0.1822634181,-0.9861364172,5.7683
3299.0,0.1835094319,1.1544936392,5.9967
3300.0,0.1835420378,0.8816101611,4.7665
3330.0,0.1853173948,-1.1426344249,5.494
3405.0,0.1891677953,-1.0029202535,4.37
3414.0,0.189665711,0.8207347381,5.0087
3419.0,0.1901847668,-0.3139268585,2.2061
3455.0,0.192815645,-0.1851667592,4.9349
3478.0,0.1938934471,0.8353837455,5.6246
3504.0,0.1951497833,0.842721449,4.4631
3505.0,0.1952177877,-0.3840829574,5.3047
3544.0,0.1976006164,0.9637953977,5.4258
3572.0,0.1991937852,1.3087897052,5.677
3583.0,0.1996535933,-0.8299420367,5.9251
3607.0,0.2015585677,-0.3930842276,5.6612
3632.0,0.2031109476,0.2701003875,5.38
3675.0,0.2051799231,0.2089845859,5.6735
3693.0,0.2065590047,0.4235456253,4.2487
3717.0,0.2082179093,-0.3152312886,5.8552
3721.0,0.2084228222,1.3063368391,5.4062
3741.0,0.2095159408,-0.3791287059,5.5593
3765.0,0.2110781643,0.0922125302,5.8775
3781.0,0.2119933979,-1.3076592082,5.2343
3786.0,0.21241351,0.1323867455,4.5555
3801.0,0.2130751275,0.8895627557,4.8742
3810.0,0.2137090075,0.2956785614,5.1781
3821.0,0.2141737695,1.0090891165,3.5835
3849.0,0.2156611497,-0.2366844002,5.7503
3881.0,0.2173538326,0.7169630129,4.4853
3885.0,0.2176650229,0.483636173,5.6451
3909.0,0.2187278845,-0.1857688369,5.281
3949.0,0.2211570738,-0.8898896994,5.3218
3951.0,0.2213348386,1.1213318216,5.4654
4104.0,0.2298453831,-0.4189824455,5.6191
4147.0,0.231291792,-0.0199704193,4.8864
4151.0,0.2315673258,1.0668073226,4.9069
4200.0,0.2340034755,-1.0973121199,5.6532
4267.0,0.2381807179,0.334901383,5.7989
4283.0,0.239456481,1.4609708113,5.6279
4288.0,0.2398387721,0.4123941779,5.6173
4292.0,0.2399968177,1.029269471,4.9892
4293.0,0.2400045454,-1.2134746977,5.6126
4346.0,0.2430664917,-0.1282300351,5.9961
4371.0,0.2444556266,-0.1966376379,5.4752
4422.0,0.2472557409,1.0329062001,4.7838
4427.0,0.2474368608,1.0597071908,2.1379
4436.0,0.2476256935,0.671938763,3.9034
4440.0,0.247759729,1.0535304413,5.5488
4463.0,0.2496131947,0.4087170143,4.5603
4510.0,0.2523563119,0.5060099684,5.6103
4572.0,0.2553270338,1.1580578174,5.9731
4577.0,0.2557158849,-0.5123844106,4.2628
4587.0,0.2562643417,-0.1986174046,5.7802
4675.0,0.2620573433,0.7803943873,5.6834
4770.0,0.2674881021,-0.6792236559,5.7493
4852.0,0.2724442741,-0.5506870214,5.5405
4889.0,0.2740957131,0.5550903905,5.4945
4890.0,0.2741033575,-0.8097863121,5.5481
4906.0,0.2746461629,0.1377077463,4.4267
4914.0,0.2750787768,-0.0844102372,5.5696
5021.0,0.2806743147,1.074778014,5.9575
5081.0,0.2840051721,0.2608569707,5.735
5131.0,0.2865923267,0.3747783248,5.3425
5132.0,0.2866469009,0.3746431785,5.5192
5164.0,0.2883523913,-0.1717293798,5.5908
5165.0,0.2883508108,-0.8153915713,3.4646
5268.0,0.2936932886,-1.0781817138,5.5032
5296.0,0.2956966118,-0.1707907963,5.8131
5300.0,0.2958206692,-0.7240836493,5.2617
5310.0,0.2964957896,0.3619694333,5.6084
5317.0,0.2967582348,0.7669367868,5.0821
5336.0,0.2976456257,0.9586086146,5.2898
5346.0,0.2983308545,0.098614963,5.5927
5348.0,0.2983829537,-0.9642216752,3.9219
5361.0,0.2991383599,1.016889551,5.7762
